"id","otsnum","camion_code","sal_id"
9983,"SAL0226-009566","1059TU189",NULL
13402,"SAL0226-013004","1059TU189",NULL
12111,"SAL0226-014632","1059TU189",NULL
11141,"SAL0226-014634","1059TU189",NULL
3294,"SAL0226-014838","1059TU189",NULL
3263,"SAL0226-014843","1059TU189",NULL
3295,"SAL0226-014868","1059TU189",NULL
3259,"SAL0226-014928","1059TU189",NULL
3262,"SAL0226-014958","1059TU189",NULL
3399,"SAL0226-014967","1059TU189",NULL
3348,"SAL0226-014980","1059TU189",NULL
11149,"SAL0226-015143","1059TU189",NULL
9741,"SAL0226-015279","1059TU189",NULL
9678,"SAL0226-015286","1059TU189",NULL
11140,"SAL0226-015339","1059TU189",NULL
9677,"SAL0226-015344","1059TU189",NULL
3293,"SAL0226-015584","1059TU189",NULL
3258,"SAL0226-015606","1059TU189",NULL
12144,"SAL0226-015743","1059TU189",NULL
12112,"SAL0226-015746","1059TU189",NULL
12181,"SAL0226-015747","1059TU189",NULL
12182,"SAL0226-015748","1059TU189",NULL
7230,"SAL0226-015916","1059TU189",NULL
12262,"SAL0226-015918","1059TU189",NULL
7070,"SAL0226-015919","1059TU189",NULL
13403,"SAL0226-015932","1059TU189",NULL
12058,"SAL0226-015935","1059TU189",NULL
12146,"SAL0226-015997","1059TU189",NULL
12114,"SAL0226-015998","1059TU189",NULL
12055,"SAL0226-016007","1059TU189",NULL
12057,"SAL0226-016009","1059TU189",NULL
12113,"SAL0226-016010","1059TU189",NULL
12056,"SAL0226-016011","1059TU189",NULL
12258,"SAL0226-016022","1059TU189",NULL
12143,"SAL0226-016023","1059TU189",NULL
7024,"SAL0226-016027","1059TU189",NULL
12180,"SAL0226-016039","1059TU189",NULL
12142,"SAL0226-016040","1059TU189",NULL
12115,"SAL0226-016053","1059TU189",NULL
4205,"SAL0226-016066","1059TU189",NULL
4798,"SAL0226-016067","1059TU189",NULL
3296,"SAL0226-016072","1059TU189",NULL
17029,"SAL0226-016076","1059TU189",NULL
3297,"SAL0226-016077","1059TU189",NULL
17414,"SAL0226-016083","1059TU189",NULL
3264,"SAL0226-016102","1059TU189",NULL
17576,"SAL0226-016114","1059TU189",NULL
17423,"SAL0226-016125","1059TU189",NULL
3400,"SAL0226-016163","1059TU189",NULL
17415,"SAL0226-016167","1059TU189",NULL
17425,"SAL0226-016168","1059TU189",NULL
17044,"SAL0226-016188","1059TU189",NULL
3298,"SAL0226-016194","1059TU189",NULL
3260,"SAL0226-016203","1059TU189",NULL
3261,"SAL0226-016218","1059TU189",NULL
17422,"SAL0226-016220","1059TU189",NULL
12145,"SAL0226-016248","1059TU189",NULL
12147,"SAL0226-016254","1059TU189",NULL
18969,"SAL0226-016262","1059TU189",NULL
18979,"SAL0226-016446","1059TU189",NULL
7069,"SAL0226-016450","1059TU189",NULL
17577,"SAL0226-016465","1059TU189",NULL
17424,"SAL0226-016466","1059TU189",NULL
17578,"SAL0226-016474","1059TU189",NULL
17028,"SAL0226-016477","1059TU189",NULL
17579,"SAL0226-016487","1059TU189",NULL
17580,"SAL0226-016492","1059TU189",NULL
17426,"SAL0226-016498","1059TU189",NULL
17413,"SAL0226-016563","1059TU189",NULL
7073,"SAL0226-016663","1059TU189",NULL
7019,"SAL0226-016667","1059TU189",NULL
7020,"SAL0226-016674","1059TU189",NULL
18980,"SAL0226-016703","1059TU189",NULL
7023,"SAL0226-016704","1059TU189",NULL
7045,"SAL0226-016706","1059TU189",NULL
7443,"SAL0226-016707","1059TU189",NULL
7080,"SAL0226-016708","1059TU189",NULL
18978,"SAL0226-016732","1059TU189",NULL
7072,"SAL0226-016748","1059TU189",NULL
7026,"SAL0226-016750","1059TU189",NULL
7022,"SAL0226-016752","1059TU189",NULL
18970,"SAL0226-016753","1059TU189",NULL
4846,"SAL0226-016757","1059TU189",NULL
7021,"SAL0226-016764","1059TU189",NULL
13406,"SAL0226-016770","1059TU189",NULL
7071,"SAL0226-016783","1059TU189",NULL
4206,"SAL0326-000005","1059TU189",NULL
13407,"SAL0326-000050","1059TU189",NULL
13409,"SAL0326-000051","1059TU189",NULL
13411,"SAL0326-000145","1059TU189",NULL
13404,"SAL0326-000151","1059TU189",NULL
13410,"SAL0326-000152","1059TU189",NULL
13408,"SAL0326-000192","1059TU189",NULL
13426,"SAL0326-000195","1059TU189",NULL
13425,"SAL0326-000197","1059TU189",NULL
7231,"SAL0326-000198","1059TU189",NULL
13405,"SAL0326-000365","1059TU189",NULL
7359,"SAL0326-000638","1059TU189",NULL
7361,"SAL0326-000643","1059TU189",NULL
7228,"SAL0326-000665","1059TU189",NULL
7271,"SAL0326-000690","1059TU189",NULL
4214,"SAL0326-000692","1059TU189",NULL
7226,"SAL0326-000728","1059TU189",NULL
7229,"SAL0326-000729","1059TU189",NULL
7360,"SAL0326-000753","1059TU189",NULL
7232,"SAL0326-000754","1059TU189",NULL
7358,"SAL0326-000768","1059TU189",NULL
7227,"SAL0326-000769","1059TU189",NULL
7362,"SAL0326-000772","1059TU189",NULL
7611,"SAL0326-000792","1059TU189",NULL
7323,"SAL0326-000799","1059TU189",NULL
7363,"SAL0326-000800","1059TU189",NULL
8779,"SAL0326-000808","1059TU189",NULL
4850,"SAL0326-001126","1059TU189",NULL
9892,"SAL0326-001236","1059TU189",NULL
4203,"SAL0326-001242","1059TU189",NULL
4852,"SAL0326-001243","1059TU189",NULL
4204,"SAL0326-001258","1059TU189",NULL
4851,"SAL0326-001267","1059TU189",NULL
4202,"SAL0326-001278","1059TU189",NULL
4201,"SAL0326-001279","1059TU189",NULL
4849,"SAL0326-001292","1059TU189",NULL
8900,"SAL0326-001295","1059TU189",NULL
7595,"SAL0326-001296","1059TU189",NULL
10208,"SAL0326-001322","1059TU189",NULL
4200,"SAL0326-001339","1059TU189",NULL
4848,"SAL0326-001340","1059TU189",NULL
4847,"SAL0326-001363","1059TU189",NULL
4199,"SAL0326-001366","1059TU189",NULL
4215,"SAL0326-001377","1059TU189",NULL
4213,"SAL0326-001378","1059TU189",NULL
10209,"SAL0326-001389","1059TU189",NULL
8946,"SAL0326-001727","1059TU189",NULL
7693,"SAL0326-001728","1059TU189",NULL
7737,"SAL0326-001737","1059TU189",NULL
8945,"SAL0326-001738","1059TU189",NULL
10200,"SAL0326-001800","1059TU189",NULL
8950,"SAL0326-001810","1059TU189",NULL
25258,"SAL0326-001818","1059TU189",NULL
25251,"SAL0326-001819","1059TU189",NULL
6686,"SAL0326-001821","1059TU189",NULL
10210,"SAL0326-001873","1059TU189",NULL
10201,"SAL0326-001878","1059TU189",NULL
8342,"SAL0326-002189","1059TU189",NULL
7746,"SAL0326-002208","1059TU189",NULL
25253,"SAL0326-002240","1059TU189",NULL
25255,"SAL0326-002244","1059TU189",NULL
7557,"SAL0326-002265","1059TU189",NULL
22499,"SAL0326-002302","1059TU189",NULL
22502,"SAL0326-002320","1059TU189",NULL
7732,"SAL0326-002334","1059TU189",NULL
25304,"SAL0326-002363","1059TU189",NULL
8343,"SAL0326-002364","1059TU189",NULL
25254,"SAL0326-002366","1059TU189",NULL
25274,"SAL0326-002369","1059TU189",NULL
25252,"SAL0326-002370","1059TU189",NULL
25256,"SAL0326-002394","1059TU189",NULL
25259,"SAL0326-002944","1059TU189",NULL
25302,"SAL0326-002961","1059TU189",NULL
22501,"SAL0326-002979","1059TU189",NULL
25257,"SAL0326-003090","1059TU189",NULL
25303,"SAL0326-003119","1059TU189",NULL
162,"SAL0326-003258","1059TU189",NULL
424,"SAL0326-003353","1059TU189",NULL
22494,"SAL0326-003358","1059TU189",NULL
22498,"SAL0326-003399","1059TU189",NULL
22495,"SAL0326-003400","1059TU189",NULL
416,"SAL0326-003408","1059TU189",NULL
22496,"SAL0326-003409","1059TU189",NULL
22504,"SAL0326-003422","1059TU189",NULL
22497,"SAL0326-003430","1059TU189",NULL
22500,"SAL0326-003432","1059TU189",NULL
423,"SAL0326-003441","1059TU189",NULL
22503,"SAL0326-003452","1059TU189",NULL
1285,"SAL0326-003453","1059TU189",NULL
1448,"BAR0226-016627","1080TU211",NULL
10602,"BAR0226-018817","1080TU211",NULL
8013,"BAR0226-019121","1080TU211",NULL
6083,"BAR0226-019838","1080TU211",NULL
6081,"BAR0226-019840","1080TU211",NULL
19396,"BAR0226-019912","1080TU211",NULL
3821,"BAR0226-019912","1080TU211",NULL
8819,"BAR0226-019912","1080TU211",NULL
8820,"BAR0226-019912","1080TU211",NULL
9041,"BAR0326-000785","1080TU211",NULL
9078,"BAR0326-001261","1080TU211",NULL
18665,"BAR0326-004244","1080TU211",NULL
15223,"BAR0326-006516","1080TU211",NULL
15222,"BAR0326-006517","1080TU211",NULL
25289,"BAR0326-007080","1080TU211",NULL
22866,"BKS0326-004653","1080TU211",NULL
22865,"BKS0326-004654","1080TU211",NULL
22868,"BKS0326-004655","1080TU211",NULL
22870,"BKS0326-004691","1080TU211",NULL
22867,"BKS0326-004692","1080TU211",NULL
22869,"BKS0326-004807","1080TU211",NULL
22871,"BKS0326-004808","1080TU211",NULL
9987,"BAR0226-018826","1087TU211",NULL
11137,"BAR0226-018842","1087TU211",NULL
8593,"BAR0226-020402","1087TU211",NULL
