"id","camion","marque","site","type","affectation","capacite","utile","created_at","updated_at"
"1","1003TU216","IVC","TS_SAH",NULL,"TS_SAH","16","3.61","2026-04-04 14:55:59.46","2026-04-04 14:58:34.289"
"2","5410TU201","Volvo","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"3","6068TU197","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"4","2775TU229","DAF","BAR","Flat Bed","Transport Commercial","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"5","1089TU211","MAN","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"6","528TU174","Volvo","BAR","Box Truck","14 T","11 T","Transport Securisé","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"7","2603TU194","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"8","5012TU182","DAF","BAR","Flat Bed","Transport Commercial","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"9","9473TU205","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"10","2486TU192","MAN","BAR","Tanker","Transport Liquides","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"11","998TU189","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"12","2767TU229","DAF","BAR","Flat Bed","Transport Commercial","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"13","3841TU166","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"14","9281TU230","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"15","9878TU188","Scania","SFAX","Tanker","Transport Liquides","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"16","4962TU204","DAF","BAR","Semi-Trailer","Transport Commercial","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"17","8248TU210","Volvo","SFAX","Flat Bed","Transport Équipements","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"18","2177TU181","MAN","BAR","Semi-Trailer","Transport Commercial","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"19","858TU201","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"20","6704TU223","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"21","8936TU190","Volvo","SFAX","Tanker","Transport Liquides","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"22","7781TU210","MAN","BAR","Flat Bed","Transport Commercial","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"23","8723TU196","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"24","2591TU257","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"25","2659TU216","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"26","5408TU201","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"27","8598TU202","Scania","SFAX","Flat Bed","Transport Équipements","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"28","4958TU204","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"29","9131TU135","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"30","966TU216","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"31","5112TU175","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"32","955TU177","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"33","8339TU158","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"34","8829TU197","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"35","9471TU205","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"36","2711TU210","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"37","8050TU209","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"38","713TU193","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"39","8365TU215","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"40","632TU203","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"41","6705TU223","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"42","2692TU198","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"43","4965TU204","Scania","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"44","5017TU182","DAF","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"45","8364TU215","Volvo","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"46","1187TU202","MAN","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"47","6084TU223","Scania","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"48","4935TU199","DAF","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"49","1127TU183","Volvo","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"50","168TU203","MAN","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"51","9612TU204","Scania","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"52","2203TU185","DAF","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"53","3839TU166","Volvo","SFAX","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"54","9152TU197","MAN","BAR","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"55","622TU240","Scania","SFAX","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"56","1131TU183","DAF","BAR","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"57","4800TU230","Volvo","SFAX","Flat Bed","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"58","9070TU256","MAN","BAR","Semi-Trailer","Transport Commercial","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"59","530TU174","Scania","SFAX","Box Truck","Transport Commercial","14 T","12 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"60","6530TU223","DAF","BAR","Semi-Trailer","Transport Commercial","25 T","22 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"61","4832TU222","Volvo","SFAX","Tanker","Transport Liquides","20 T","18 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
"62","1997TU181","MAN","BAR","Flat Bed","Transport Équipements","24 T","21 T","2026-04-09 15:24:46.305","2026-04-09 15:24:46.305"
