"id","cdate","entnbpal","otskm2","otsnumbdx","plakm1","plakm2","voydtd","voyhrd","voyhrf","voypal","performance_camion","performance_chauffeur","taux_remplissage_pal","taux_remplissage_ton","mdate","km_tsp","voydtf","createdAt","updatedAt","affcode","artcode","otdcode","otscontainer","otsetat","ottmt","placha1i","plalib","plamoti","plargiarr","rgilibl","sitcode","sitsiretedi","tiecode","toucode","voycle","sitechauff","sitecamion","salmemoe","otsnum","platouordre","salmobilite","toutrafcode","chargement","otdhd","voymemo","camion_code","sal_id"
16143,NULL,30,"247",2098279,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1250","BAR2098279","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-005839","30","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16144,NULL,30,"247",2092913,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1321","BAR2092913","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-001463","22","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16145,NULL,30,"247",2093786,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1321","BAR2093786","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-002392","24","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16146,NULL,30,"247",2094452,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1321","BAR2094452","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-003089","25","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16147,NULL,30,"247",2094397,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1250","BAR2094397","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-003034","29","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16148,NULL,30,"247",2098340,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1321","BAR2098340","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-005900","21","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16149,NULL,30,"221",2092841,"60","221",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1188","BAR2092841","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-001391","46","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16150,NULL,30,"221",2092869,"60","221",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1240","BAR2092869","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-001419","49","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16151,NULL,30,"247",2094383,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1234","BAR2094383","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-003020","38","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
16152,NULL,30,"247",2094375,"60","247",NULL,"21:00:00","06:00:00",11,"50","50","0","0","1899-12-31 00:00:00",NULL,"2026-03-13","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T017","1225","BAR2094375","I","0+0+0+0","TRP289","TRANSPORT SPOT","5161TU158","SF","SFAX",NULL,"BAR","AZI",NULL,"8371803",NULL,"BAR",NULL,"BAR0326-003012","8","False",NULL,"QUAI-BHF",NULL,NULL,"5161TU158",NULL
