"table_name","column_name","data_type","is_nullable"
"depots","id","bigint","NO"
"depots","code","character varying","NO"
"depots","name","character varying","YES"
"depots","latitude","double precision","NO"
"depots","longitude","double precision","NO"
"depots","source","character varying","YES"
"depots","groupe","character varying","YES"
"depots","cree_par","character varying","YES"
"depots","created_at","timestamp without time zone","NO"
"depots","updated_at","timestamp without time zone","NO"
"poi_clients","id","bigint","NO"
"poi_clients","code","character varying","NO"
"poi_clients","name","character varying","YES"
"poi_clients","latitude","double precision","NO"
"poi_clients","longitude","double precision","NO"
"poi_clients","source","character varying","YES"
"poi_clients","groupe","character varying","YES"
"poi_clients","cree_par","character varying","YES"
"poi_clients","created_at","timestamp without time zone","NO"
"poi_clients","updated_at","timestamp without time zone","NO"
"transport_data","id","integer","NO"
"transport_data","affcode","text","YES"
"transport_data","artcode","text","YES"
"transport_data","cdate","timestamp without time zone","YES"
"transport_data","entnbpal","integer","YES"
"transport_data","otdcode","text","YES"
"transport_data","otscontainer","text","YES"
"transport_data","otsetat","text","YES"
"transport_data","otskm2","numeric","YES"
"transport_data","otsnumbdx","integer","YES"
"transport_data","ottmt","text","YES"
"transport_data","placha1i","text","YES"
"transport_data","plakm1","numeric","YES"
"transport_data","plakm2","numeric","YES"
"transport_data","plalib","text","YES"
"transport_data","plamoti","text","YES"
"transport_data","plargiarr","text","YES"
"transport_data","rgilibl","text","YES"
"transport_data","salnom","text","YES"
"transport_data","saltel","text","YES"
"transport_data","sitcode","text","YES"
"transport_data","sitsiretedi","text","YES"
"transport_data","tiecode","text","YES"
"transport_data","toucode","text","YES"
"transport_data","voycle","text","YES"
"transport_data","voydtd","date","YES"
"transport_data","voyhrd","time without time zone","YES"
"transport_data","voyhrf","time without time zone","YES"
"transport_data","voypal","integer","YES"
"transport_data","performance_camion","numeric","YES"
"transport_data","performance_chauffeur","numeric","YES"
"transport_data","taux_remplissage_pal","numeric","YES"
"transport_data","taux_remplissage_ton","numeric","YES"
"transport_data","mdate","timestamp without time zone","YES"
"transport_data","sitechauff","text","YES"
"transport_data","sitecamion","text","YES"
"transport_data","salmemoe","text","YES"
"transport_data","otsnum","text","YES"
"transport_data","platouordre","text","YES"
"transport_data","salmobilite","text","YES"
"transport_data","km_tsp","numeric","YES"
"transport_data","toutrafcode","text","YES"
"transport_data","chargement","text","YES"
"transport_data","voydtf","date","YES"
"transport_data","otdhd","text","YES"
"transport_data","voymemo","text","YES"
"transport_depots","transport_id","integer","NO"
"transport_depots","depot_id","integer","NO"
"transport_poi_clients","transport_id","integer","NO"
"transport_poi_clients","poi_client_id","integer","NO"
