"Table","Column","References Table","References Column","On Update","On Delete"
"anomalies","commande_id","commandes","id","CASCADE","CASCADE"
"anomaly_comments","anomalie_id","anomalies","id","CASCADE","CASCADE"
"attachments","anomalie_id","anomalies","id","CASCADE","CASCADE"
"commandes","client_id","clients","id","CASCADE","RESTRICT"
"commandes","tournee_id","tournees","id","CASCADE","SET NULL"
"conformite_checks","commande_id","commandes","id","CASCADE","CASCADE"
"facture_lignes","facture_id","factures","id","CASCADE","CASCADE"
"factures","client_id","clients","id","CASCADE","RESTRICT"
"factures","report_tournee_id","tournee_reports","id","CASCADE","SET NULL"
"paiements","facture_id","factures","id","CASCADE","CASCADE"
"tarifs","zone_id","zones","id","CASCADE","RESTRICT"
"tournee_reports","tournee_id","tournees","id","CASCADE","CASCADE"
"tournees","tarif_id","tarifs","id","CASCADE","SET NULL"
"tournees","zone_id","zones","id","CASCADE","SET NULL"
"transport_depots","transport_id","transport_data","id","CASCADE","CASCADE"
"transport_depots","depot_id","depots","id","CASCADE","CASCADE"
"transport_poi_clients","transport_id","transport_data","id","CASCADE","CASCADE"
"transport_poi_clients","poi_client_id","poi_clients","id","CASCADE","CASCADE"
