"indexname","tablename","indexdef"
"PK_d2b12c598f7da47275e8fb7c9fd","depots","CREATE UNIQUE INDEX ""PK_d2b12c598f7da47275e8fb7c9fd"" ON public.depots USING btree (id)"
"UQ_31b63efe71ee2113a5c83b91773","depots","CREATE UNIQUE INDEX ""UQ_31b63efe71ee2113a5c83b91773"" ON public.depots USING btree (code)"
"ix_depots_code","depots","CREATE INDEX ix_depots_code ON public.depots USING btree (code)"
"PK_1e524db198ca3614873d651879f","poi_clients","CREATE UNIQUE INDEX ""PK_1e524db198ca3614873d651879f"" ON public.poi_clients USING btree (id)"
"UQ_bd833077eae1a574621b3925976","poi_clients","CREATE UNIQUE INDEX ""UQ_bd833077eae1a574621b3925976"" ON public.poi_clients USING btree (code)"
"ix_poi_clients_code","poi_clients","CREATE INDEX ix_poi_clients_code ON public.poi_clients USING btree (code)"
"transport_data_pkey","transport_data","CREATE UNIQUE INDEX transport_data_pkey ON public.transport_data USING btree (id)"
"transport_depots_pkey","transport_depots","CREATE UNIQUE INDEX transport_depots_pkey ON public.transport_depots USING btree (transport_id, depot_id)"
"ix_transport_depots_transport","transport_depots","CREATE INDEX ix_transport_depots_transport ON public.transport_depots USING btree (transport_id)"
"ix_transport_depots_depot","transport_depots","CREATE INDEX ix_transport_depots_depot ON public.transport_depots USING btree (depot_id)"
"ix_transport_poi_clients_transport","transport_poi_clients","CREATE INDEX ix_transport_poi_clients_transport ON public.transport_poi_clients USING btree (transport_id)"
"ix_transport_poi_clients_client","transport_poi_clients","CREATE INDEX ix_transport_poi_clients_client ON public.transport_poi_clients USING btree (poi_client_id)"
"transport_poi_clients_pkey","transport_poi_clients","CREATE UNIQUE INDEX transport_poi_clients_pkey ON public.transport_poi_clients USING btree (transport_id, poi_client_id)"
