"id","cdate","entnbpal","otskm2","otsnumbdx","plakm1","plakm2","voydtd","voyhrd","voyhrf","voypal","performance_camion","performance_chauffeur","taux_remplissage_pal","taux_remplissage_ton","mdate","km_tsp","voydtf","createdAt","updatedAt","affcode","artcode","otdcode","otscontainer","otsetat","ottmt","placha1i","plalib","plamoti","plargiarr","rgilibl","sitcode","sitsiretedi","tiecode","toucode","voycle","sitechauff","sitecamion","salmemoe","otsnum","platouordre","salmobilite","toutrafcode","chargement","otdhd","voymemo","camion_code","sal_id","states"
8656,NULL,20,"125",373165,"60","125",NULL,"04:00:00","12:00:00",20,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1555","SFX0373165","I","0+0+0+0","841","TRANSPORT AMBIANT","8226TU215","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8339555","SFX","SFX","SURG","SFX0226-004239","1","False",NULL,"QUAI-SFX",NULL,NULL,"8226TU215","3","done"
17,"2024-08-29 00:00:00",20,"199",NULL,"60","199","2034-08-27","10:30:00","15:00:00",4,"0","0","0","0","1899-12-31 00:00:00","0","2034-08-27","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T014","1209",NULL,"E","0+0+0+0","13100","TRANSPORT TECHNIQUE","5400TU201","SF","SFAX","SFX","SFX","AZI",NULL,"5936707","SFX","SFX","AZIZA","SFX0824-004473","1","False",NULL,"9005",NULL,NULL,"5400TU201","7","done"
16,"2024-08-29 00:00:00",20,"199",NULL,"60","199","2034-08-27","10:30:00","15:00:00",4,"0","0","0","0","1899-12-31 00:00:00","0","2034-08-27","2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T014","1209",NULL,"E","0+0+0+0","13100","TRANSPORT TECHNIQUE","5400TU201","SF","SFAX","SFX","SFX","AZI",NULL,"5936707","SFX","SFX","AZIZA","SFX0824-004473","1","False",NULL,"1209",NULL,NULL,"5400TU201","7","done"
11797,NULL,20,"511",2087606,"60","290",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1302","BAR2087606","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0226-017718","4","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
11798,NULL,20,"290",2090724,"60","290",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1302","BAR2090724","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0226-019551","2","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
11799,NULL,20,"221",373335,"60","221",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T004","1302","SFX0373335","E","0+0+0+0","13100","TRANSPORT AMBIANT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","SFX0326-000180","1","False",NULL,"QUAI-SFX",NULL,NULL,"5400TU201","7","done"
11806,NULL,20,"290",2092118,"60","290",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1302","BAR2092118","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0326-000511","5","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
11807,NULL,20,"290",2088061,"60","290",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1302","BAR2088061","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0226-018173","3","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
11808,NULL,20,"433",2087635,"60","251",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1336","BAR2087635","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0226-017747","8","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
11809,NULL,20,"251",2090754,"60","251",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1336","BAR2090754","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0226-019581","6","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
11810,NULL,20,"429",2092143,"60","182",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1336","BAR2092143","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0326-000536","9","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
7649,NULL,20,"125",NULL,"60","125",NULL,"04:01:00","12:30:00",18,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1466","SFX0373157R1","I","0+0+0+0","13100","TRANSPORT AMBIANT","8226TU215","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8369855","SFX","SFX","AZIZA","SFX0326-000198","5","False",NULL,"QUAI-SFX",NULL,NULL,"8226TU215","7","done"
11820,NULL,20,"251",2088093,"60","251",NULL,"04:00:00","15:00:00",17,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306","AFI39","T017","1336","BAR2088093","E","0+0+0+0","13100","TRANSPORT SPOT","5400TU201","KS","KASSERINE","SFX","SFX","AZI",NULL,"8349716","SFX","SFX","AZIZA","BAR0226-018205","7","False",NULL,"QUAI-BHF",NULL,NULL,"5400TU201","7","done"
5887,NULL,20,"125",NULL,"60","125",NULL,"04:01:00","12:30:00",18,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1555","SFX0373653R1","I","0+0+0+0","13100","TRANSPORT AMBIANT","8226TU215","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8369855","SFX","SFX","AZIZA","SFX0326-000757","2","False",NULL,"QUAI-SFX",NULL,NULL,"8226TU215","7","done"
6955,NULL,20,"125",374193,"60","125",NULL,"04:01:00","12:30:00",18,"50","50","0","0","1899-12-31 00:00:00",NULL,NULL,"2026-04-08 11:13:03.464306","2026-04-08 11:13:03.464306",NULL,"T004","1555","SFX0374193","I","0+0+0+0","13100","TRANSPORT AMBIANT","8226TU215","SZ","SIDI BOUZID","SFX","SFX","AZI",NULL,"8369855","SFX","SFX","AZIZA","SFX0326-001056","1","False",NULL,"QUAI-SFX",NULL,NULL,"8226TU215","7","done"
